id,year,bup,low_green,med_green,high_green,min_temp,mean_temp,max_temp
1,1990,0,0,0,0,0,0,0
2,1990,0,0,0,0,0,0,0
3,1990,0,0,0,0,0,0,0
4,1990,0,0,0,0,0,0,0
5,1990,0,0,0,0,0,0,0
6,1990,0,0,0,0,0,0,0
7,1990,0,0,0,0,0,0,0
8,1990,0,0,0,0,0,0,0
9,1990,0,0,0,0,0,0,0
10,1990,0,0,0,0,0,0,0
11,1990,0,0,0,0,0,0,0
12,1990,0,0,0,0,0,0,0
13,1990,0,0,0,0,0,0,0
14,1990,0,0,0,0,0,0,0
15,1990,0,0,0,0,0,0,0
16,1990,0,0,0,0,0,0,0
17,1990,0,0,0,0,0,0,0
18,1990,0,0,0,0,0,0,0
19,1990,0,0,0,0,0,0,0
20,1990,0,0,0,0,0,0,0
21,1990,0,0,0,0,0,0,0
22,1990,0,0,0,0,0,0,0
23,1990,0,0,0,0,0,0,0
24,1990,0,0,0,0,0,0,0
25,1990,0,0,0,0,0,0,0
26,1990,0,0,0,0,0,0,0
27,1990,0,0,0,0,0,0,0
28,1990,0,0,0,0,0,0,0
29,1990,0,0,0,0,0,0,0
30,1990,0,0,0,0,0,0,0
31,1990,0,0,0,0,0,0,0
32,1990,0,0,0,0,0,0,0
33,1990,0,0,0,0,0,0,0
34,1990,0,0,0,0,0,0,0
35,1990,0,0,0,0,0,0,0
36,1990,0,0,0,0,0,0,0
37,1990,0,0,0,0,0,0,0
38,1990,0,0,0,0,0,0,0
39,1990,0,0,0,0,0,0,0
40,1990,0,0,0,0,0,0,0
41,1990,0,0,0,0,0,0,0
42,1990,0,0,0,0,0,0,0
43,1990,0,0,0,0,0,0,0
44,1990,0,0,0,0,0,0,0
45,1990,0,0,0,0,0,0,0
46,1990,0,0,0,0,0,0,0
47,1990,0,0,0,0,0,0,0
48,1990,0,0,0,0,0,0,0
49,1990,0,0,0,0,0,0,0
50,1990,0,0,0,0,0,0,0
51,1990,0,0,0,0,0,0,0
52,1990,0,0,0,0,0,0,0
53,1990,0,0,0,0,0,0,0
54,1990,0,0,0,0,0,0,0
55,1990,0,0,0,0,0,0,0
56,1990,0,0,0,0,0,0,0
57,1990,0,0,0,0,0,0,0
58,1990,0,0,0,0,0,0,0
